Designator,Mid X,Mid Y,Rotation,Layer
C1,146.75,-94.75,-90.0,top
C10,200.35828,-84.25,-90.0,top
C11,210.75,-89.25,0.0,top
C12,206.25,-123.75,-90.0,top
C2,161.5,-109.25,-90.0,top
C3,168.0,-114.25,90.0,top
C4,163.9,-103.8,0.0,top
C5,183.25,-126.25,90.0,top
C7,198.75,-124.294888,-90.0,top
C8,192.5,-108.9,90.0,top
C9,204.25,-84.25,-90.0,top
D1,170.31,-87.25,180.0,top
D2,162.59,-96.9,0.0,top
D5,208.5,-110.69,-90.0,top
D6,180.025,-95.0,180.0,top
D7,177.475,-89.25,0.0,top
Q1,152.36,-99.5,90.0,top
Q2,195.5,-94.04,90.0,top
R1,150.25,-106.69,-90.0,top
R10,191.75,-126.31,90.0,top
R11,210.0,-98.69,-90.0,top
R12,203.75,-118.31,90.0,top
R13,214.0,-106.31,90.0,top
R14,206.0,-106.31,90.0,top
R15,199.94,-94.0,0.0,top
R16,170.25,-124.5,0.0,top
R17,187.0,-116.56,90.0,top
R18,186.5,-99.31,90.0,top
R2,147.75,-118.94,-90.0,top
R22,146.0,-114.31,90.0,top
R23,190.5,-99.31,90.0,top
R3,155.0,-116.81,90.0,top
R5,165.25,-126.56,90.0,top
R6,160.5,-126.56,90.0,top
R7,157.5,-99.81,90.0,top
R8,172.19,-100.75,0.0,top
R9,198.75,-110.69,-90.0,top
U1,177.5,-111.0,0.0,top
